LLB,SBI,AFC,LASD,LLSD,material_id,formula,num_elements,bandgap,energy_above_hull,formation_energy_per_atom
0.0,0.6833333333333335,3.2222222222222223,3.5103141794476533,3.6276826921058944,mp-554917,Li2 Sn4 P6 O24,4,3.4851,0.0,-2.528996888181216
0.0,1.366666666666667,3.333333333333333,3.374736240742698,4.792186418344569,mp-558943,Li2 U2 As2 O12,4,2.2759,0.0,-2.709139970648147
0.0,0.4577777777777778,1.8333333333333333,3.2777009297332924,4.403382073517035,mp-773582,Li2 Te2 H24 N8,4,1.3014,0.0,-0.5084891327777771
0.0,0.8200000000000001,3.0,3.05933819018457,0.0,mp-973966,Li1 In1 I4 O12,4,3.0613,0.0,-1.147699379444444
0.0,0.756923076923077,4.615384615384615,3.928061166300912,6.248807848466384,mp-1020164,Na6 Li2 P4 O14,4,4.8511,0.0,-2.639629860135151
0.0,0.756923076923077,3.230769230769231,4.273580038833455,6.769145989329877,mp-1019794,K6 Li2 P4 O14,4,5.0761,0.0,-2.671974138028388
0.0,1.308,7.2,2.9415245479884886,0.0,mp-1110680,Rb2 Li1 Sb1 Cl6,4,2.9411,0.0,-1.878165215833332
0.0,1.308,7.2,3.011247457281236,0.0,mp-1110684,Rb2 Li1 Bi1 Cl6,4,3.6153999999999993,0.0,-1.932271605833333
0.0,1.308,4.8,2.9823280975034265,0.0,mp-1110869,K2 Li1 Bi1 Cl6,4,3.6182,0.0,-1.894873532783334
0.0,1.8,4.8,2.3798710587673844,0.0,mp-1111112,K2 Li1 Ga1 F6,4,6.1271,0.0,-3.104614807533333
0.0,1.308,4.8,2.9461264681799912,0.0,mp-1111126,K2 Li1 Lu1 Cl6,4,5.0952,0.0,-2.43546777145
0.0,1.308,4.8,3.047266366225331,0.0,mp-1111446,Cs2 Li1 Er1 Cl6,4,5.1941,0.0,-2.489334767264368
0.0,1.8,4.8,2.403597719278325,0.0,mp-1111671,K2 Li1 In1 F6,4,5.2984,0.0,-3.02043609045
0.0,1.1880000000000002,4.8,3.230409350940005,0.0,mp-1111839,Cs2 Li1 Pr1 Br6,4,3.9721,0.0,-2.140288113431034
0.0,1.1880000000000002,4.8,3.2299960636320564,0.0,mp-1111845,Cs2 Li1 Nd1 Br6,4,3.9972,0.0,-2.144003541014368
0.0,1.308,4.8,3.051508750754191,0.0,mp-1112624,Cs2 Li1 Gd1 Cl6,4,2.782,0.0,-2.482845278264368
0.0,1.008,4.8,3.4825313468034635,0.0,mp-1112834,Cs2 Li1 Nd1 I6,4,2.9743,0.0,-1.671915922014368
0.0,1.308,4.8,3.0516363710304275,0.0,mp-1112669,Cs2 Li1 Tb1 Cl6,4,5.0434,0.0,-2.487051111931034
0.0,1.308,4.8,3.0579100856796244,0.0,mp-1112671,Cs2 Li1 Sm1 Cl6,4,4.9508,0.0,-2.476640961764368
0.0,1.308,4.8,2.991545816706371,0.0,mp-1112998,Cs2 Li1 Tm1 Cl6,4,5.2527,0.0,-2.386300208166665
0.0,1.008,4.8,3.4844548684360874,0.0,mp-1113008,Cs2 Li1 Pr1 I6,4,2.960899999999999,0.0,-1.670642214431034
0.0,1.308,4.8,3.048313740535175,0.0,mp-1113018,Cs2 Li1 Dy1 Cl6,4,5.0917,0.0,-2.4873172784310342
0.0,1.8,4.8,2.46955320249966,0.0,mp-1113748,Rb2 Li1 As1 F6,4,4.5851,0.0,-2.808733546583333
0.0,1.308,4.8,2.985281325339601,0.0,mp-1113971,Rb2 Li1 Tm1 Cl6,4,5.2728,0.0,-2.466921009833334
0.0,1.308,4.8,2.9824919990125,0.0,mp-1113976,Rb2 Li1 Lu1 Cl6,4,5.2953,0.0,-2.466382671500001
0.0,1.8,4.8,2.4715746139970096,0.0,mp-1113693,Rb2 Li1 Tl1 F6,4,3.4666,0.0,-2.730992243166667
0.0,1.8,4.8,2.4705647186198845,0.0,mp-1113733,Rb2 Li1 In1 F6,4,5.2622,0.0,-3.013948160499999
0.0,1.1880000000000002,4.8,3.1603163033657427,0.0,mp-567628,Rb2 Li1 Dy1 Br6,4,4.1439,0.0,-2.115091375999999
0.0,1.308,4.8,3.04563185491858,0.0,mp-570379,Cs2 Li1 Lu1 Cl6,4,5.3389,0.0,-2.487084079931035
0.0,1.1880000000000002,4.8,3.206337587854476,0.0,mp-989405,Cs2 Li1 In1 Br6,4,1.318,0.0,-1.701866446931034
0.0,1.308,2.4,2.946562194763505,0.0,mp-989512,Li1 Tl2 In1 Cl6,4,2.8771,0.0,-1.5736920236666672
0.0,1.8,2.4,2.466902641963911,0.0,mp-989551,Li1 Tl2 In1 F6,4,4.1011,0.0,-2.592978106666667
0.0,1.8,2.4,2.485069884574326,0.0,mp-989577,Li1 Tl2 Ga1 F6,4,4.3717,0.0,-2.645941066750001
0.0,1.308,4.8,2.9753959948998503,0.0,mp-989583,Rb2 Li1 In1 Cl6,4,2.8282,0.0,-1.980378803499999
0.0,0.8828571428571429,5.142857142857143,2.601130759232656,0.0,mp-6799,Li1 Ca4 B3 N6,4,2.1934,0.0,-1.3168749807738092
0.0,0.8828571428571429,5.142857142857143,2.75678665174469,0.0,mp-9723,Sr4 Li1 B3 N6,4,2.0686,0.0,-1.251986870059524
0.0,0.7380000000000001,6.0,3.4220973281624607,0.0,mp-7971,Ba4 Li1 Sb3 O12,4,1.454399999999999,0.0,-2.557289012666666
0.0,0.5466666666666667,3.111111111111111,3.4482648632959094,5.737425223959887,mp-1019715,Cs2 Li2 B12 O20,4,5.2081,0.0,-2.841563735999361
0.0,2.3600000000000003,4.0,2.7597743358243663,2.920459056149381,mp-6015,Li4 Si4 N4 O4,4,5.254399999999999,0.0,-2.120794075208334
0.0,1.4057142857142857,3.2142857142857144,5.571592446122123,6.269583602420106,mp-22694,Li8 P8 Pb8 O32,4,3.6252,0.0,-2.501715246139455
0.0,1.2300000000000002,3.0,3.452372822171567,4.714183525929816,mp-24610,Li4 P4 H8 O16,4,5.8554,0.0,-2.194765020684523
0.0,0.7552941176470589,2.823529411764706,4.384242920824052,6.166696404298951,mp-558105,Li4 B24 O36 F4,4,6.4556,0.0,-2.86485175622549
0.0,1.2300000000000002,3.5,3.1577595790757904,5.264664771207037,mp-14364,Cs4 Li2 As2 O8,4,3.7302,0.0,-2.096997168767959
0.0,1.2300000000000002,4.75,3.0741551730852965,5.0981836954806194,mp-14363,Rb4 Li2 As2 O8,4,3.5526,0.0,-2.107650687604167
0.0,1.1833333333333331,2.333333333333333,2.9674449552228115,4.46551447267974,mp-1103298,Li2 H6 I2 N2,4,3.8235,0.0,-0.8020828520138881
0.0,1.0588235294117647,2.117647058823529,4.744000852338159,8.153266088493835,mp-1197471,Li2 As2 Xe6 F24,4,2.9661,0.0,-1.690973945931372
0.0,2.4,6.0,2.3360575424394314,0.0,mp-1222404,Li1 Bi1 S2,3,1.4793,0.0,-0.985776147083332
0.0,2.4,6.0,2.3437160345672634,0.0,mp-1222296,Li1 Sm1 S2,3,1.9482,0.0,-2.052949153333333
0.0,2.4,6.0,2.318021236477097,0.0,mp-1222297,Li1 Tb1 S2,3,2.0554,0.0,-2.08934224125
0.0,2.355,6.0,2.4064241590024875,0.0,mp-15796,Li1 Ho1 Se2,3,1.5729000000000002,0.0,-1.962550009947914
0.0,2.355,6.0,2.4020691715524665,0.0,mp-15797,Li1 Er1 Se2,3,1.6151,0.0,-1.9578455220312487
